userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country,title_clean,review_clean,title_normalized,review_normalized,text_clean,text_normalized,text_length,word_count,has_title,has_review,username_clean
keke-cham,Community Guidelines,2,2025-08-16 18:05:30+00:00,41.2.0,False,0,"You guys keep removing my comments when I’m talking to racist… people with comment calling black peoole animals and all these other things and it still up but I defend and say that it’s not true and that what they are saying is disgusting and disrespectful I get my comment removed, this has happened multiple times and it’s annoying. People are able to be naked and make racist statements/videos but when I defend others and call people out it’s an issue… This keeps happening and it’s not cool you’re fine with people calling black women manly but me saying it’s disgusting and racist it’s an issue(I see where you guys align) 

I’m back again lol so I ended up deleting TikTok for a second because it took up too much storage and I’m trying log back in it’s saids to use my phone number neigh I did got the code and then it’s said to verify with password(which is dumb because I just used my phone number which should be enough) and I clearly forgot my password because I had this account for years tried to reset it and it’s saids I couldn’t like what and now I’m out of tries like ughh",,us,Community Guidelines,"You guys keep removing my comments when I’m talking to racist. . . people with comment calling black peoole animals and all these other things and it still up but I defend and say that it’s not true and that what they are saying is disgusting and disrespectful I get my comment removed, this has happened multiple times and it’s annoying. People are able to be naked and make racist statements/videos but when I defend others and call people out it’s an issue. . . This keeps happening and it’s not cool you’re fine with people calling black women manly but me saying it’s disgusting and racist it’s an issue(I see where you guys align) I’m back again lol so I ended up deleting TikTok for a second because it took up too much storage and I’m trying log back in it’s saids to use my phone number neigh I did got the code and then it’s said to verify with password(which is dumb because I just used my phone number which should be enough) and I clearly forgot my password because I had this account for years tried to reset it and it’s saids I couldn’t like what and now I’m out of tries like ughh",community guidelines,"you guys keep removing my comments when i m talking to racist. . . people with comment calling black peoole animals and all these other things and it still up but i defend and say that it s not true and that what they are saying is disgusting and disrespectful i get my comment removed, this has happened multiple times and it s annoying. people are able to be naked and make racist statements videos but when i defend others and call people out it s an issue. . . this keeps happening and it s not cool you re fine with people calling black women manly but me saying it s disgusting and racist it s an issue i see where you guys align i m back again lol so i ended up deleting tiktok for a second because it took up too much storage and i m trying log back in it s saids to use my phone number neigh i did got the code and then it s said to verify with password which is dumb because i just used my phone number which should be enough and i clearly forgot my password because i had this account for years tried to reset it and it s saids i couldn t like what and now i m out of tries like ughh","Community Guidelines You guys keep removing my comments when I’m talking to racist. . . people with comment calling black peoole animals and all these other things and it still up but I defend and say that it’s not true and that what they are saying is disgusting and disrespectful I get my comment removed, this has happened multiple times and it’s annoying. People are able to be naked and make racist statements/videos but when I defend others and call people out it’s an issue. . . This keeps happening and it’s not cool you’re fine with people calling black women manly but me saying it’s disgusting and racist it’s an issue(I see where you guys align) I’m back again lol so I ended up deleting TikTok for a second because it took up too much storage and I’m trying log back in it’s saids to use my phone number neigh I did got the code and then it’s said to verify with password(which is dumb because I just used my phone number which should be enough) and I clearly forgot my password because I had this account for years tried to reset it and it’s saids I couldn’t like what and now I’m out of tries like ughh","community guidelines you guys keep removing my comments when i m talking to racist. . . people with comment calling black peoole animals and all these other things and it still up but i defend and say that it s not true and that what they are saying is disgusting and disrespectful i get my comment removed, this has happened multiple times and it s annoying. people are able to be naked and make racist statements videos but when i defend others and call people out it s an issue. . . this keeps happening and it s not cool you re fine with people calling black women manly but me saying it s disgusting and racist it s an issue i see where you guys align i m back again lol so i ended up deleting tiktok for a second because it took up too much storage and i m trying log back in it s saids to use my phone number neigh i did got the code and then it s said to verify with password which is dumb because i just used my phone number which should be enough and i clearly forgot my password because i had this account for years tried to reset it and it s saids i couldn t like what and now i m out of tries like ughh",1117,209,True,True,keke-cham
𝕍𝕖𝕝𝕝,"this app banned me it said 12 and older I’m 12 and I took a picture of myself to go live, and they b",1,2025-08-16 17:35:47+00:00,41.2.0,False,0,I hate this app This is why they need a banner.,,us,"this app banned me it said 12 and older I’m 12 and I took a picture of myself to go live, and they b",I hate this app This is why they need a banner.,"this application banned me it said 12 and older i m 12 and i took a picture of myself to go live, and they b",i hate this application this is why they need a banner.,"this app banned me it said 12 and older I’m 12 and I took a picture of myself to go live, and they b I hate this app This is why they need a banner.","this application banned me it said 12 and older i m 12 and i took a picture of myself to go live, and they b i hate this application this is why they need a banner.",148,35,True,True,𝕍𝕖𝕝𝕝
Msveebaby,Mute button,1,2025-08-16 17:32:29+00:00,41.2.0,False,0,Pls install a mute button that allows the video to play.,,us,Mute button,Pls install a mute button that allows the video to play.,mute button,pls install a mute button that allows the video to play.,Mute button Pls install a mute button that allows the video to play.,mute button pls install a mute button that allows the video to play.,68,13,True,True,Msveebaby
Nokia08809,TikTok,5,2025-08-16 17:20:49+00:00,41.2.0,False,0,Non,,us,TikTok,Non,tiktok,non,TikTok Non,tiktok non,10,2,True,True,Nokia08809
Mightypenguin100,Internet browser.,1,2025-08-16 17:04:53+00:00,41.2.0,False,0,If I'm opening a link. I don't want your bad built in browser. Why can't I just open it in my browser?,,us,Internet browser.,If I'm opening a link. I don't want your bad built in browser. Why can't I just open it in my browser?,internet browser.,if i am opening a link. i do not want your bad built in browser. why cannot i just open it in my browser?,Internet browser. If I'm opening a link. I don't want your bad built in browser. Why can't I just open it in my browser?,internet browser. if i am opening a link. i do not want your bad built in browser. why cannot i just open it in my browser?,120,24,True,True,Mightypenguin100
Bossy Ladyy,My fav app😩,5,2025-08-16 16:34:30+00:00,41.2.0,False,0,I downloaded TikTok back in 2018 when it was called “Musically” and before people find out about it in 2020. Ever since then it has become my favorite app of all the time and I don’t even use google anymore lol. It’s an amazing platform that has connected people during Covid-19 and it has everything you can imagine. I love you TikTok!!!!,,us,My fav app😩,I downloaded TikTok back in 2018 when it was called “Musically” and before people find out about it in 2020. Ever since then it has become my favorite app of all the time and I don’t even use google anymore lol. It’s an amazing platform that has connected people during Covid-19 and it has everything you can imagine. I love you TikTok! ! !,my fav app,i downloaded tiktok back in 2018 when it was called musically and before people find out about it in 2020. ever since then it has become my favorite application of all the time and i don t even use google anymore lol. it s an amazing platform that has connected people during covid-19 and it has everything you can imagine. i love you tiktok! ! !,My fav app😩 I downloaded TikTok back in 2018 when it was called “Musically” and before people find out about it in 2020. Ever since then it has become my favorite app of all the time and I don’t even use google anymore lol. It’s an amazing platform that has connected people during Covid-19 and it has everything you can imagine. I love you TikTok! ! !,my fav app i downloaded tiktok back in 2018 when it was called musically and before people find out about it in 2020. ever since then it has become my favorite application of all the time and i don t even use google anymore lol. it s an amazing platform that has connected people during covid-19 and it has everything you can imagine. i love you tiktok! ! !,352,67,True,True,Bossy Ladyy
Moseratt,tiktok duent work,1,2025-08-16 16:33:04+00:00,41.2.0,False,0,tiktok i hate it so much its not leting me in its keeps kicking me out out and i hate it,,us,tiktok duent work,tiktok i hate it so much its not leting me in its keeps kicking me out out and i hate it,tiktok duent work,tiktok i hate it so much its not leting me in its keeps kicking me out out and i hate it,tiktok duent work tiktok i hate it so much its not leting me in its keeps kicking me out out and i hate it,tiktok duent work tiktok i hate it so much its not leting me in its keeps kicking me out out and i hate it,106,24,True,True,Moseratt
T Browns,I’m in love with Tic Tok,5,2025-08-16 16:10:55+00:00,41.2.0,False,0,I see so much creativity💙,,us,I’m in love with Tic Tok,I see so much creativity💙,i m in love with tic tok,i see so much creativity,I’m in love with Tic Tok I see so much creativity💙,i m in love with tic tok i see so much creativity,50,11,True,True,T Browns
Chbird,Broken again 8/13/25,1,2025-08-16 15:48:38+00:00,41.2.0,False,0,"8/15/2025: TikTok is broken again. My feet is all garbage all the time. I have sports set to zero on the content slider yet it continuously shows me testosterone fueled teenage boy content that I would never interact with and have never interacted with. I block and block and block some more and it doesn't matter TikTok is just pure trash now.

TikTok is broken again. The app doesn't work, the feed doesn't work. Reporting to down detector every time, let everyone see how bad you are. HAD TO DELETE THE APP because it's making my phone get burning hot now. Thanks for nothing. They also updated the app and took away the ability to press on the side of the screen to get 2X. Why would you take that away? The app gets worse by the day. Why would anyone want to purchase this, let alone still use it when they make it worse every day? 8/13/25. 

Now TikTok is forcing me to watch videos from accounts that I have blocked. 30 of them in under 30 minutes. What is wrong with you TikTok? Stop violating your users by forcing them to watch trash from users that we have blocked!",,us,Broken again 8/13/25,"8/15/2025: TikTok is broken again. My feet is all garbage all the time. I have sports set to zero on the content slider yet it continuously shows me testosterone fueled teenage boy content that I would never interact with and have never interacted with. I block and block and block some more and it doesn't matter TikTok is just pure trash now. TikTok is broken again. The app doesn't work, the feed doesn't work. Reporting to down detector every time, let everyone see how bad you are. HAD TO DELETE THE APP because it's making my phone get burning hot now. Thanks for nothing. They also updated the app and took away the ability to press on the side of the screen to get 2X. Why would you take that away? The app gets worse by the day. Why would anyone want to purchase this, let alone still use it when they make it worse every day? 8/13/25. Now TikTok is forcing me to watch videos from accounts that I have blocked. 30 of them in under 30 minutes. What is wrong with you TikTok? Stop violating your users by forcing them to watch trash from users that we have blocked!",broken again 8 13 25,"8 15 2025 tiktok is broken again. my feet is all garbage all the time. i have sports set to zero on the content slider yet it continuously shows me testosterone fueled teenage boy content that i would never interact with and have never interacted with. i block and block and block some more and it does not matter tiktok is just pure trash now. tiktok is broken again. the application does not work, the feed does not work. reporting to down detector every time, let everyone see how bad you are. had to delete the application because it is making my phone get burning hot now. thanks for nothing. they also updated the application and took away the ability to press on the side of the screen to get 2x. why would you take that away? the application gets worse by the day. why would anyone want to purchase this, let alone still use it when they make it worse every day? 8 13 25. now tiktok is forcing me to watch videos from accounts that i have blocked. 30 of them in under 30 minutes. what is wrong with you tiktok? stop violating your users by forcing them to watch trash from users that we have blocked!","Broken again 8/13/25 8/15/2025: TikTok is broken again. My feet is all garbage all the time. I have sports set to zero on the content slider yet it continuously shows me testosterone fueled teenage boy content that I would never interact with and have never interacted with. I block and block and block some more and it doesn't matter TikTok is just pure trash now. TikTok is broken again. The app doesn't work, the feed doesn't work. Reporting to down detector every time, let everyone see how bad you are. HAD TO DELETE THE APP because it's making my phone get burning hot now. Thanks for nothing. They also updated the app and took away the ability to press on the side of the screen to get 2X. Why would you take that away? The app gets worse by the day. Why would anyone want to purchase this, let alone still use it when they make it worse every day? 8/13/25. Now TikTok is forcing me to watch videos from accounts that I have blocked. 30 of them in under 30 minutes. What is wrong with you TikTok? Stop violating your users by forcing them to watch trash from users that we have blocked!","broken again 8 13 25 8 15 2025 tiktok is broken again. my feet is all garbage all the time. i have sports set to zero on the content slider yet it continuously shows me testosterone fueled teenage boy content that i would never interact with and have never interacted with. i block and block and block some more and it does not matter tiktok is just pure trash now. tiktok is broken again. the application does not work, the feed does not work. reporting to down detector every time, let everyone see how bad you are. had to delete the application because it is making my phone get burning hot now. thanks for nothing. they also updated the application and took away the ability to press on the side of the screen to get 2x. why would you take that away? the application gets worse by the day. why would anyone want to purchase this, let alone still use it when they make it worse every day? 8 13 25. now tiktok is forcing me to watch videos from accounts that i have blocked. 30 of them in under 30 minutes. what is wrong with you tiktok? stop violating your users by forcing them to watch trash from users that we have blocked!",1094,204,True,True,Chbird
Brother2367,I can’t download,1,2025-08-16 15:47:21+00:00,41.2.0,False,0,It’s a nice app but u can easily forget ur password,,us,I can’t download,It’s a nice app but u can easily forget ur password,i can t download,it s a nice application but u can easily forget ur password,I can’t download It’s a nice app but u can easily forget ur password,i can t download it s a nice application but u can easily forget ur password,68,14,True,True,Brother2367
